,Episode No,Score,Steps,Rolling Score
0,1,-10,13,-10.0
1,2,-10,4,-10.0
2,3,-10,35,-10.0
3,4,-10,4,-10.0
4,5,-10,7,-10.0
5,6,-10,44,-10.0
6,7,-10,22,-10.0
7,8,-10,20,-10.0
8,9,-10,27,-10.0
9,10,-10,17,-10.0
